Label,cssSelector,tagName,group,relation,extraInfo,returnValue
pageTitle,[data-tid=text-pageTitle],h1,dashboardPage,,,
createPlaylistBtn,[data-tid=button-CreatePlaylist],button,dashboardPage,,,createPlaylistDialog
addBookBtn,[data-tid=button-addBook],button,dashboardPage,,,addBook.page
cardSliderTitle,[data-tid=text-cardSliderTitle],p,dashboardPage,,,
cardSliderSubtitle,[data-tid=text-cardSliderSubtitle],p,dashboardPage,,,
cardSliderLeftBtn,[data-tid=button-cardSliderLeft],button,dashboardPage,,,
cardSliderRightBtn,[data-tid=button-cardSliderRight],button,dashboardPage,,,
actionCardTitles,[data-tid*=text-actionCardTitle-,p,actionCards,parent,pattern,
actionCardSubtitles,[data-tid*=text-actionCardSubtitle-,p,actionCards,,pattern,
actionCardBtns,[data-tid*=button-actionCardBtn-,button,actionCards,,pattern,
myBooksHeading,[data-tid=text-myBooks],h2,dashboardPage,,,
noBooksTitle,[data-tid=text-title-noBookAdded],p,dashboardPage,,,
noBooksSubtitle,[data-tid=text-subtitle-noBookAdded],p,dashboardPage,,,
noBooks_addBookBtn,[data-tid=button-noBookAdded],button,dashboardPage,,,addBook.page
myPlaylistsHeading,[data-tid=text-playlist],h2,dashboardPage,,,
noPlaylistsTitle,[data-tid=text-title-noPlaylist],p,dashboardPage,,,
noPlaylistsSubTitle,[data-tid=text-subtitle-noPlaylist],p,dashboardPage,,,
noPlaylists_createBtn,[data-tid=button-noPlaylist],button,dashboardPage,,,createPlaylistDialog
playlistTitle,[data-tid*=text-playlistTitle-,button,playlist,parent,pattern,playlist.page
playlistSubtitle,[data-tid*=text-playlistSubtitle-,p,playlist,,pattern,
bookTitle,[data-tid*=text-bookTitle-,p,books,parent,pattern,
bookSubtitle,[data-tid*=text-bookSubtitle-,p,books,,pattern,
bookMenuBtn,[data-tid*=button-contextMenu-,button,books,,pattern,bookMenu
viewBookBtn,[data-tid*=button-view-,button,books,,pattern,viewBook.page
bookCover,[data-tid*=img-bookCover-,button,books,,pattern,viewBook.page
bookMenu_viewClassOption,[data-tid*=button-viewClass],button,bookMenu,,,classDrawer.page
bookMenu_createClassOption,[data-tid*=button-createClass],button,bookMenu,,,createClass.page
bookMenu_removeOption,[data-tid*=button-remove],button,bookMenu,,,removeBookDialog
bookMenu_openFlipbookOption,[data-tid*=button-openFlipbook],button,bookMenu,,,flipbook.page
removeBook_title,[data-tid=text-title-removeBook],p,removeBookDialog,,,
removeBook_subTitle,[data-tid=text-subTitle-removeBook],p,removeBookDialog,,,
removeBook_cancelBtn,[data-tid=button-secondary-removeBook],button,removeBookDialog,,,"waitForDisplayed, removeBook_cancelBtn, undefined, true"
removeBook_removeBtn,[data-tid=button-primary-removeBook],button,removeBookDialog,,,books
createPlaylist_label,[data-tid=text-createPlaylistLabel],label,createPlaylistDialog,,,
createPlaylist_input,[id=input-createPlaylist],input,createPlaylistDialog,,,
createPlaylist_cancelBtn,[data-tid=button-cancelCreatePlaylist],button,createPlaylistDialog,,,"waitForDisplayed, createPlaylist_cancelBtn, undefined, true"
createPlaylist_createBtn,[data-tid=button-createPlaylist],button,createPlaylistDialog,,,playlist
exploreHeading,[data-tid=text-explore],p,dashboardPage,,,
viewAllBtn,[data-tid=btn-label-viewall],button,dashboardPage,,,browse.page
resourceTitle,[data-tid*=item-globalresource] p:nth-child(1),button,resources,condition,pattern,browse.page
resourceSubtitle,[data-tid*=item-globalresource] p:nth-child(2),p,resources,,pattern,
recentlyViewedHeading,[data-tid=text-recentActivitiesTitle],h2,dashboardPage,,,
recentlyViewed_activities,[data-tid*=text-name-recent-,button,recentlyViewedList,,pattern,
