Label,cssSelector,tagName,group,relation,extraInfo,returnValue
readerContainerWrapper,[id='reader-container-wrapper'],div,0,,,
pageLayoutSingle,[id=readerpagedivA],img,flipbookPage,,,
pageLayoutDouble,[id=readerpagedivB][class*=display-none],img,flipbookPage,,,
notesDockContainer,[id=dock-container] > [id=dialog-notes],div,,,,
notesBtn,[data-tid='button-toolbar-item-1-0'],button,flipbookPage,,,notesModal
zoomInBtn,[data-tid='button-toolbar-item-1-1'],button,flipbookPage,,,
zoomOutBtn,[data-tid='button-toolbar-item-1-2'],button,flipbookPage,,,
fitToScreenBtn,[data-tid='button-toolbar-item-1-3'],button,flipbookPage,,,
doublePageBtn,[data-tid='button-toolbar-item-1-4'],button,flipbookPage,,,flipbookPage
singlePageBtn,[data-tid='button-toolbar-item-1-5'],button,flipbookPage,,,flipbookPage
fullScreenBtn,[data-tid='button-toolbar-item-1-6'],button,flipbookPage,,,
bookmarkBtn,[data-tid='button-toolbar-item-2-0'],button,flipbookPage,,,bookmarkModal
TOCBtn,[data-tid='button-toolbar-item-2-1'],button,flipbookPage,,,flipbookTOC
previousBtn,[data-tid='button-toolbar-item-2-2'],button,flipbookPage,,,flipbookPage
nextBtn,[data-tid='button-toolbar-item-2-3'],button,flipbookPage,,,flipbookPage
myNotesTitle,[data-tid=label-text-notes-header],h6,notesModal,,,
notesDockBtn,[data-tid=notebox-button-dock],button,notesModal,,,
notesUndockBtn,[data-tid=notebox-button-undock],button,notesModal,,,
notesCloseBtn,button[data-tid='notebox-button-cancel'],button,notesModal,,,
addNoteBtn,button[data-tid='button-note-this-page'],button,notesModal,,,addNotes
noNoteIcon,img[data-tid='icon-no-note'],img,notesModal,,,
noNoteText,[data-tid='text-no-note'],p,notesModal,,,
noteListItemLabel,[data-tid*='note-list-item-label-,p,notesList,,pattern,
noteListItemText,[data-tid*='text-note-list-,p,notesList,parent,pattern,
noteListDeleteBtn,button[data-tid*='btn-delete-],button,notesList,,pattern,deleteNotes
noteListEditBtn,button[data-tid*='btn-edit-],button,notesList,,pattern,addNotes
addNotesTitle,"[data-tid=label-text-notes-add-header],[data-tid=label-text-notes-edit-header]",h6,addNotes,,,
notesPageLabel,[data-tid=label-text-page-number],h6,addNotes,,,
notesPageValueSingle,[data-tid=label-text-page-number-value],h6,addNotes,,,
notesPageValueLeft,[data-tid=text-option-0],button,addNotes,,,
notesPageValueRight,[data-tid=text-option-1],button,addNotes,,,
notesTextArea,[id=input-edit-note],textarea,addNotes,,,
notesCancelBtn,button[data-tid='button-cancel'],button,addNotes,,,notesList
notesSaveBtn,button[data-tid='button-save'],button,addNotes,,,notesList
deleteNoteTitle,[data-tid='text-title-deleteNote'],h6,deleteNotes,,,
deleteNoteSubTitle,[data-tid='text-subTitle-deleteNote'],p,deleteNotes,,,
deleteNoteCancelBtn,button[data-tid='button-secondary-deleteNote'],button,deleteNotes,,,notesList
deleteNoteDeleteBtn,button[data-tid='button-primary-deleteNote'],button,deleteNotes,,,notesList
myBookmarksTitle,[data-tid=label-text-bookmark-header],h6,bookmarkModal,,,
bookmarkCloseBtn,button[data-tid='bookmarkbox-button-cancel'],button,bookmarkModal,,,
noBookmarkIcon,img[data-tid='icon-no-bookmark'],img,bookmarkModal,,,
noBookmarkText,[data-tid='text-no-bookmark'],p,bookmarkModal,,,
addBookmarkBtn,button[data-tid='button-bookmark-this-page'],button,bookmarkModal,,,addBookmark
bookmarkListItemLabel,[data-tid*='bookmark-list-item-label-,p,bookmarkList,,pattern,
bookmarkListItemName,[data-tid*='bookmark-list-item-name-,p,bookmarkList,parent,pattern,
bookmarkListDeleteBtn,button[data-tid='btn-delete'],button,bookmarkList,,pattern,bookmarkList
bookmarkListEditBtn,button[data-tid='btn-edit'],button,bookmarkList,,pattern,addBookmark
bookmarkNameLabel,[data-tid='text-label-edit-bookmark'],p,addBookmark,,,
bookmarkPageValueSingle,[data-tid=label-text-page-number-value],h6,addBookmark,,,
bookmarkPageValueLeft,[data-tid=text-option-0],button,addBookmark,,,
bookmarkPageValueRight,[data-tid=text-option-1],button,addBookmark,,,
bookmarkTextArea,[id=input-edit-bookmark],textarea,addBookmark,,,
bookmarkCancelBtn,button[data-tid='button-cancel'],button,addBookmark,,,bookmarkList
bookmarkSaveBtn,button[data-tid='button-save'],button,addBookmark,,,bookmarkList
flipbookTitle,[data-tid=flipbook-title],h3,flipbookTOC,,,
tableOfContentTitle,[data-tid=flipbook-toc-label],h6,flipbookTOC,,,
jumpToPageInput,[data-tid=input-searchtextbox] input,textarea,flipbookTOC,,,
jumpToPageBtn,[data-tid=button-closeicon],button,flipbookTOC,,,flipbookPage
resourceTitle,[data-tid*=text-resourcetitle-],p,flipbookTOC,,pattern,
