Label,cssSelector,tagName,group,relation,extraInfo,returnValue,teacherAppLangEN,studentAppLangEN
pageTitle,[data-tid='text-pageTitle'],p,gradeBook,,,,"""Gradebook""",
pageSubTitle,[data-tid='text-pageSubTitle'],p,gradeBook,,,,"""Class Dates: """,
noGradeBookIcon,[data-tid='icon-nostudent'],img,gradeBook,,,,,
noGradeBookTitle,[data-tid='no-students-title'],p,gradeBook,,,,"""No analytics to show yet""",
noGradeBookSubTitle,[data-tid='no-student-bilinear'],p,gradeBook,,,,"""Invite students to enroll in your class and see their progress & grades.""",
download_btn,[data-tid=button-downloadGradebook],button,gradeBook,,,,"""Download""",
graphHeader,[data-tid=title-graph],p,gradeBook,,,,"""Average Score and Average Completion""",
sendtoemail_btn,[data-tid=button-sendToEmail],button,gradeBook,,,,"""Send to email""",
graphImage,[data-tid=class-analytics-graph],img,gradeBook,,,,,
averageScoreLegend,[data-tid=label-avgScore] p,p,gradeBook,,,,"""Average Score""",
averageCompletionLegend,[data-tid=label-avgCompletion] p,p,gradeBook,,,,"""Average Completion""",
productListName,[data-tid=button-product-,p,productList,parent,pattern,,,
teacherOnlyIcon,[data-tid=button-product-,p,productList,,pattern,,,
above70_lbl,[data-tid='value-above-passing-score'],p,gradeBook,,,,"""Above 70%""",
below70_lbl,[data-tid='value-below-passing-score'],p,gradeBook,,,,"""Below 70%""",
averageScore_lbl,[data-tid='value-average-score'],p,gradeBook,,,,"""Average Score""",
averageCompletion_lbl,[data-tid='value-average-completion'],p,gradeBook,,,,"""Average Completion""",
students_lbl,[data-tid=label-students],p,gradeBook,,,,"""Students""",
serachBox,[data-tid=icon-autocomplete-search],img,gradeBook,,,,,
searchStudentPlaceholder,//input[@placeholder='Search Students...'],p,gradeBook,,,,,
name_lbl,[data-tid='value-name'],p,gradeBook,,,,"""Name""",
lastActive_lbl,[data-tid='value-last-active'],p,gradeBook,,,,"""Last Active""",
time_lbl,[data-tid='value-time'],p,gradeBook,,,,"""Time""",
score_lbl,[data-tid='value-score'],p,gradeBook,,,,"""Score""",
completion_lbl,[data-tid='value-completion'],p,gradeBook,,,,"""Completion""",
studentList,[data-tid='list-,button,gradeBook,,pattern,gradeBookStudent.page,,
