Label,cssSelector,tagName,group,relation,extraInfo,returnValue,teacherAppLangEN,studentAppLangEN
playlistPageTitle,[data-tid='text-playlistTitle'],p,playlistPage,,,,,
playlistPageSubtitle,[data-tid='text-playlistSubtitle'],p,playlistPage,,,,"""Playlist""","""Playlist"""
playlistResourceCount,[data-tid='text-playlistResourcesWithCount'],p,playlistPage,,,,"""Resources ""","""Resources """
playlistCreatedOn,[data-tid='text-playlistCreatedOn'],p,playlistPage,,,,"""Created""","""Created"""
playlistOptionsBtn,[data-tid='button-playlistOptions'],button,playlistPage,,,playlistOptionList,,
playlistShareBtn,[data-tid='button-sharePlaylist'],button,playlistPage,,,,"""Share""",null
browseAllResourcesBtn,[data-tid='button-browseAllResources'],button,playlistPage,,,browse.page,"""Browse All Resources""","""Browse All Resources"""
noPlaylistImage,[data-tid='image-noPlaylist'],img,playlistPage,,,,TRUE,TRUE
noPlaylistTitle,[data-tid='text-title-noPlaylist'],p,playlistPage,,,,"""Add a few resources to your playlist!""","""Add a few resources to your playlist!"""
noPlaylistSubtitle,[data-tid='text-subtitle-noPlaylist'],p,playlistPage,,,,"""You can add resources to this list to share with your classes, or just to have on hand for you when you need them. Start adding to your list.""","""You can add resources to this list to share with your classes, or just to have on hand for you when you need them. Start adding to your list."""
itemIndex_Header,[data-tid='text-serialNo'],p,playlistPage,,,,"""#""","""#"""
itemName_Header,[data-tid='text-listTitle'],p,playlistPage,,,,"""Title""","""Title"""
itemType_Header,[data-tid='text-listType'],p,playlistPage,,,,"""Type""","""Type"""
itemTag_Header,[data-tid='text-listTags'],p,playlistPage,,,,"""Tags""","""Tags"""
itemIndex,[data-tid*=text-itemIndex-,p,resourceList,parent,pattern,,,
itemName,[data-tid*=text-itemName-,p,resourceList,condition,pattern,,,
itemType,[data-tid*=text-itemType-,p,resourceList,,pattern,,,
itemTag,[data-tid*=text-itemTag-0-,p,resourceList,,pattern,,,
itemMoreOptions,[data-tid*=button-contextMenu-,button,resourceList,,pattern,moreOptionsResourcesList,,
playlistFooterTitle,[data-tid='text-footerTitle'],p,playlistPage,,,,"""Add to your playlist""","""Add to your playlist"""
playlistFooterSubtitle,[data-tid='text-footerSubtitle'],p,playlistPage,,,,"""Browse all resources to find more to add to your playlist.""","""Browse all resources to find more to add to your playlist."""
playlistBrowseResourcesBtn,[data-tid='button-browseResources'],button,playlistPage,,,browse.page,"""Browse Resources""","""Browse Resources"""
playlistReorderOption,[data-tid='button-reorderPlaylist'],button,playlistOptionList,,,,"""Reorder""","""Reorder"""
playlistEditOption,[data-tid='button-editPlaylist'],button,playlistOptionList,,,editPlaylistPopup,"""Edit""","""Edit"""
playlistDeleteOption,[data-tid='button-deletePlaylist'],button,playlistOptionList,,,deletePlaylistPopup,"""Delete""","""Delete"""
playlistNameLabel,[data-tid='text-createPlaylistLabel'],p,editPlaylistPopup,,,,"""Playlist Name""","""Playlist Name"""
playlistNameInput,[id='input-createPlaylist'],input,editPlaylistPopup,,,,,
editPlaylistCancelBtn,[data-tid='button-cancelCreatePlaylist'],button,editPlaylistPopup,,,"getText, playlistPageTitle","""Cancel""","""Cancel"""
editPlaylistSaveBtn,[data-tid='button-savePlaylist'],button,editPlaylistPopup,,,"getText, playlistPageTitle","""Save""","""Save"""
deletePlaylistTitle,[data-tid='text-title-deletePlaylist'],p,deletePlaylistPopup,,,,"""Delete Playlist?""","""Delete Playlist?"""
deletePlaylistSubtitle,[data-tid='text-subTitle-deletePlaylist'],p,deletePlaylistPopup,,,,"""This will remove the entire list of resources from your dashboard. You will need to create new playlist to add them again.""","""This will remove the entire list of resources from your dashboard. You will need to create new playlist to add them again."""
deletePlaylistCancelBtn,[data-tid='button-secondary-deletePlaylist'],button,deletePlaylistPopup,,,"waitForDisplayed,deletePlaylistCancelBtn,undefined,true ","""Cancel""","""Cancel"""
deletePlaylistDeleteBtn,[data-tid='button-primary-deletePlaylist'],button,deletePlaylistPopup,,,dashboard.page,"""Delete""","""Delete"""
removeResourceTitle,[data-tid='text-title-removeResource'],p,removeResourcePopup,,,,"""Remove Resource?""","""Remove Resource?"""
removeResourceSubtitle,[data-tid='text-subTitle-removeResource'],p,removeResourcePopup,,,,"""This will remove the resource - Practice Exam 1 - from this playlist.""","""This will remove the resource - Practice Exam 1 - from this playlist."""
removeResourceCancelBtn,[data-tid='button-secondary-removeResource'],button,removeResourcePopup,,,resourceList,"""Cancel""","""Cancel"""
removeResourceRemoveBtn,[data-tid='button-primary-removeResource'],button,removeResourcePopup,,,resourceList,"""Remove""","""Remove"""
viewOptionResourceItem,[data-tid*=button-viewDetails],button,moreOptionsResourcesList,,,,"""View""","""View"""
shareOptionResourceItem,[data-tid*=button-shareDetails],button,moreOptionsResourcesList,,,,"""Share""",null
removeOptionResourceItem,[data-tid*=button-removeDetails],button,moreOptionsResourcesList,,,removeResourcePopup,"""Remove from Playlist""","""Remove from Playlist"""
