Label,cssSelector,tagName,group,relation,extraInfo,returnValue,teacherAppLangEN,studentAppLangEN
createAccountTitleTxt,[data-tid='text-signupheading'],h2,createAccountPage,,,,"""Create an account""",
createAccountSubTitleTxt,[data-tid='text-signupsubheading'],p,createAccountPage,,,,"""Create your account using your email or a social login.""",
emailLbl,[data-tid='label-email'],label,createAccountPage,,,,"""Email""",
emailTextbox,#main-focus-area,input,createAccountPage,,,,,
signUpBtn,[data-tid='button-signup'],button,createAccountPage,,,"waitForDisplayed, continueBtn","""Sign Up with Email""",
continueWithTxt,[data-tid='text-federatedlogin'],span,createAccountPage,,,,"""Or continue with:""",
googleBtn,[data-tid='button-federatedlogingoogle'],button,createAccountPage,,,"waitForDisplayed, googlePageHeadingTxt","""Google""",
facebookBtn,[data-tid='button-federatedloginfacebook'],button,createAccountPage,,,"waitForDisplayed, facebookPageHeadingTxt","""Facebook""",
haveAnAccountTxt,[data-tid='text-haveanaccount'],span,createAccountPage,,,,"""Have an account?""",
logInBtn,[data-tid='anchor-login'],button,createAccountPage,,,login.page,"""Log in""",
emailErrorTxt,[data-tid='text-erroremail'],p,createAccountPage,,,,"""Please enter a valid email address (for example, name@example.com)""",
roleSelectionTitleTxt,[data-tid='text-welcome'],h2,roleSelectionPage,,,,"""Which role describes you best?""",
selectRoleTxt,[data-tid='text-selectrole'],p,roleSelectionPage,,,,"""Select your role""",
studentRoleBtn,[data-tid='button-student'],button,roleSelectionPage,,,,"""I'm a student""",
teacherRoleBtn,[data-tid='button-teacher'],button,roleSelectionPage,,,,"""I'm a teacher""",
continueBtn,[data-tid='button-createaccount'],button,roleSelectionPage,,,"waitForDisplayed, createAccountBtn","""Continue""",
backToSignInBtn,[data-tid='button-back'],button,roleSelectionPage,,,"waitForDisplayed, signUpBtn","""Back to Sign in""",
roleSelectionErrorTxt,[data-tid='text-roleselectionerror'],p,roleSelectionPage,,,,"""Please select a role""",
accountDetailsTitleTxt,[data-tid='text-userdetails'],h2,accountDetailsPage,,,,"""Enter account details""",
emailTxt,[data-tid='input-email'] input,p,accountDetailsPage,,,,,
passwordLbl,[data-tid='label-password'],p,accountDetailsPage,,,,"""Password""",
passwordTextbox,[data-tid='input-password'] input,input,accountDetailsPage,,,,,
passwordHelperTxt,#main-focus-area-helper-text,p,accountDetailsPage,,,,"""Must have a min of 8 characters and contain: 1 uppercase, 1 lowercase, 1 number, and 1 special character.""",
confirmPasswordLbl,[data-tid='label-confirmpassword'],p,accountDetailsPage,,,,"""Confirm Password""",
confirmPasswordTextbox,[data-tid='input-confirmpassword'] input,input,accountDetailsPage,,,,,
passwordToggleBtn,[data-tid='input-password'] [data-tid='button-togglepasswordvisibility'] button,button,accountDetailsPage,,,"getAttribute,passwordTextbox, 'type'",,
confirmPasswordToggleBtn,[data-tid='input-confirmpassword'] [data-tid='button-togglepasswordvisibility'] button,button,accountDetailsPage,,,"getAttribute,confirmPasswordTextbox, 'type'",,
firstNameLbl,[data-tid='label-firstname'],label,accountDetailsPage,,,,"""First Name""",
lastNameLbl,[data-tid='label-lastname'],label,accountDetailsPage,,,,"""Last Name""",
firstNameTextbox,[data-tid='input-firstname'] input,input,accountDetailsPage,,,,,
lastNameTextbox,[data-tid='input-lastname'] input,input,accountDetailsPage,,,,,
countryLbl,[data-tid='textfield-label'],label,accountDetailsPage,,,,"""Country""",
countryTextbox,[data-tid='country'] input,input,accountDetailsPage,,,,,
countryArrowBtn,[data-tid='country'] button[aria-label='Select Country'],button,accountDetailsPage,,,,,
policyLineTxt,[data-tid='text-policyLine'],span,accountDetailsPage,,,,"""I accept the Privacy notice and Terms of use.""",
policyLineCheckbox,[data-tid='checkbox-policy'],button,accountDetailsPage,,,,,
createAccountBtn,[data-tid='button-createaccount'],button,accountDetailsPage,,,,"""Create Account""",
backToRoleSelectionBtn,[data-tid='button-backtorole'],button,accountDetailsPage,,,"waitForDisplayed,continueBtn","""Back to Role selection""",
passwordErrorTxt,[data-tid='text-errorpassword'],p,accountDetailsPage,,,,"""Must have a min of 8 characters and contain: 1 uppercase, 1 lowercase, 1 number, and 1 special character.""",
confirmPasswordErrorTxt,[data-tid='text-errorconfirmpassword'],p,accountDetailsPage,,,,"""Password and Confirm password must match""",
firstNameErrorTxt,[data-tid='text-errorfirstname'],p,accountDetailsPage,,,,"""First name is required""",
lastNameErrorTxt,[data-tid='text-errorlastname'],p,accountDetailsPage,,,,"""Last name is required""",
countryErrorTxt,[data-tid='country'] p p,p,accountDetailsPage,,,,"""Country is required""",
policyLineErrorTxt,[data-tid='text-policyCheckBoxError'],p,accountDetailsPage,,,,"""Please accept Terms & Policy""",
privacyPoliceLink,[data-tid='text-policyLine'] a:nth-child(1),button,accountDetailsPage,,,"getAttribute, privacyPolicyTab, 'aria-selected'","""Privacy notice""",
termsOfUseLink,[data-tid='text-policyLine'] a:nth-child(2),button,accountDetailsPage,,,"getAttribute, termsOfUseTab, 'aria-selected'","""Terms of use""",
privacyPolicyTab,button[data-tid='button-product-0'],button,policyPopUpPage,,,"getAttribute, privacyPolicyTab, 'aria-selected'","""Privacy Policy""",
termsOfUseTab,button[data-tid='button-product-1'],button,policyPopUpPage,,,"getAttribute, termsOfUseTab, 'aria-selected'","""Terms of Use""",
policyCancelBtn,button[data-tid='button-cancel'],button,policyPopUpPage,,,,"""Cancel""",
policyAgreeBtn,button[data-tid='button-agree'],button,policyPopUpPage,,,,"""I Agree""",
policyCrossBtn,button[data-tid='button-close'],button,policyPopUpPage,,,,,
googlePageHeadingTxt,#headingText,h1,googlePage,,,,"""Sign in""",
googlePageSubHeadingTxt,#headingSubtext,span,googlePage,,,,"""to continue to amazoncognito.com""",
facebookPageHeadingTxt,#header_block,span,facebookPage,,,,"""Log in to Facebook""",
